Fecha_datetime,Year,Month,Day,NO2_trop_mean,NO2_trop_std,WeekofYear,NO2_trop_mean_complete,NO2_trop_std_complete
2018-08-20T00:00:00Z,2018,8,20,4.0662915553311006e-5,1.6206595159684502e-5,2018W34,4.0662915553311006e-5,1.6206595159684502e-5
2018-08-21T00:00:00Z,2018,8,21,4.534707511743e-4,1.806409100555e-4,2018W34,4.534707511743e-4,1.806409100555e-4
2018-08-22T00:00:00Z,2018,8,22,4.770221935530384e-5,2.690209774580105e-5,2018W34,4.770221935530384e-5,2.690209774580105e-5
2018-08-23T00:00:00Z,2018,8,23,NA,NA,2018W34,0,0
2018-08-24T00:00:00Z,2018,8,24,NA,NA,2018W34,0,0
2018-08-25T00:00:00Z,2018,8,25,6.691689817276807e-5,2.139853359034199e-5,2018W34,6.691689817276807e-5,2.1398533590341976e-5
2018-08-26T00:00:00Z,2018,8,26,7.341942415324266e-5,2.586153927261213e-5,2018W34,7.341942415324266e-5,2.586153927261213e-5
2018-08-27T00:00:00Z,2018,8,27,1.192533020373e-4,6.128641167341325e-5,2018W35,1.192533020373e-4,6.128641167341325e-5
2018-08-28T00:00:00Z,2018,8,28,1.5678285949295001e-4,7.731065545130856e-5,2018W35,1.5678285949295001e-4,7.731065545130856e-5
2018-08-29T00:00:00Z,2018,8,29,1.007664736055e-4,4.29920547630363e-5,2018W35,1.0076647360550001e-4,4.29920547630363e-5
2018-08-30T00:00:00Z,2018,8,30,NA,NA,2018W35,5.6960752864006424e-5,2.6305785107168327e-5
2018-08-31T00:00:00Z,2018,8,31,7.73798587484065e-5,3.3367512057615806e-5,2018W35,7.737985874840648e-5,3.336751205761581e-5
2018-09-01T00:00:00Z,2018,9,1,1.178330747973e-4,3.7866976762352986e-5,2018W35,1.178330747973e-4,3.7866976762352986e-5
2018-09-02T00:00:00Z,2018,9,2,5.6154484221419185e-5,2.435327957517015e-5,2018W35,5.615448422141918e-5,2.435327957517015e-5
2018-09-03T00:00:00Z,2018,9,3,1.934040584678e-4,7.797620568568406e-5,2018W36,1.934040584678e-4,7.797620568568406e-5
2018-09-04T00:00:00Z,2018,9,4,1.048072582643e-4,5.14362226888428e-5,2018W36,1.048072582643e-4,5.14362226888428e-5
2018-09-05T00:00:00Z,2018,9,5,7.137887952522139e-5,3.423774902946936e-5,2018W36,7.137887952522139e-5,3.423774902946936e-5
2018-09-06T00:00:00Z,2018,9,6,1.789459225489e-4,8.58973651916419e-5,2018W36,1.789459225489e-4,8.58973651916419e-5
2018-09-07T00:00:00Z,2018,9,7,1.046601227941e-4,4.8728377933901776e-5,2018W36,1.046601227941e-4,4.8728377933901776e-5
2018-09-08T00:00:00Z,2018,9,8,3.3676035405005175e-5,8.70847993734738e-6,2018W36,3.3676035405005175e-5,8.708479937347384e-6
